mmsi_1,mmsi_2,timestamp,vessel_Proximity
889799564,232006548,2023-03-16 05:30:00+00:00,463.12173452664416
538008064,352656000,2023-03-14 09:30:00+00:00,26.440485978677742
564780000,563014650,2023-03-18 00:30:00+00:00,399.4154868504552
352002300,564654000,2023-03-12 10:20:20+00:00,181.03500927932103
232345740,875832716,2023-03-16 23:30:00+00:00,62.76351930025885
564780000,563014650,2023-03-17 17:30:00+00:00,330.30782817672537
564780000,563014650,2023-03-22 02:30:00+00:00,229.48997387844332
352002300,563078430,2023-03-13 13:30:00+00:00,212.7523114804804
563014650,564780000,2023-03-23 15:30:00+00:00,142.4914748214687
875832716,232006548,2023-03-15 10:30:00+00:00,2.032164696851066
875832716,889799564,2023-03-15 10:30:00+00:00,15.841278813861209
563014650,564780000,2023-03-21 23:30:00+00:00,212.0558081202421
232006548,232345740,2023-03-16 09:30:00+00:00,259.62604588749514
565761000,563014650,2023-03-08 20:30:00+00:00,383.2401277051595
564780000,563014650,2023-03-17 20:30:00+00:00,339.1654377377873
875832716,232006548,2023-03-17 12:30:00+00:00,58.79090287289898
875832716,232345740,2023-03-17 12:30:00+00:00,29.91936412897621
218719092,875832716,2023-03-15 06:30:00+00:00,13.823715821317178
218719092,232345740,2023-03-15 06:30:00+00:00,1.313431517042099
218719092,889799564,2023-03-15 06:30:00+00:00,6.347271378244838
218719092,232006548,2023-03-15 06:30:00+00:00,7.272662335717954
232006548,875832716,2023-03-22 12:30:00+00:00,28.404864802686735
232006548,218719092,2023-03-22 12:30:00+00:00,311.32490321504895
232345740,875832716,2023-03-15 01:30:00+00:00,8.359106154474143
232345740,232006548,2023-03-15 01:30:00+00:00,2.1509135150487926
232345740,889799564,2023-03-15 01:30:00+00:00,14.348000028930453
232345740,218719092,2023-03-15 01:30:00+00:00,0.6492395140807292
875832716,232345740,2023-03-17 17:30:00+00:00,239.52498241264001
232006548,218719092,2023-03-22 17:30:00+00:00,223.9566009742692
564780000,563014650,2023-03-23 16:30:00+00:00,107.02089624718097
564780000,563014650,2023-03-05 07:30:00+00:00,426.03173106243173
232345740,875832716,2023-03-15 09:30:00+00:00,13.453134742633047
232345740,889799564,2023-03-15 09:30:00+00:00,2.2237204908555417
232345740,218719092,2023-03-15 09:30:00+00:00,1.7465275348638154
232345740,232006548,2023-03-15 09:30:00+00:00,10.509478831637107
352002300,563078430,2023-03-13 11:30:00+00:00,165.65130512859434
565761000,564780000,2023-03-19 03:30:00+00:00,88.88964222476056
352002300,563078430,2023-03-14 00:30:00+00:00,111.78631921186967
218719092,232006548,2023-03-22 18:30:00+00:00,178.32940341622879
232345740,875832716,2023-03-16 06:30:00+00:00,82.71020206699694
875832716,232345740,2023-03-16 06:30:00+00:00,82.71020206699694
232006548,875832716,2023-03-17 07:30:00+00:00,294.3992059358235
564780000,563014650,2023-03-18 02:30:00+00:00,414.4265381377413
232345740,218719092,2023-03-22 03:30:00+00:00,489.56577975997027
564780000,563014650,2023-03-05 10:30:00+00:00,427.22712320736247
563014650,564780000,2023-03-08 23:30:00+00:00,238.85404603998853
564780000,563014650,2023-03-09 03:30:00+00:00,237.6165950639985
352002300,563014650,2023-03-13 02:30:00+00:00,37.39444461530658
352002300,563078430,2023-03-13 02:30:00+00:00,138.67311398891349
232006548,875832716,2023-03-17 16:30:00+00:00,105.72586012899697
232006548,232345740,2023-03-17 16:30:00+00:00,32.2538184311469
232006548,889799564,2023-03-14 22:30:00+00:00,327.3057729219083
232006548,875832716,2023-03-14 22:30:00+00:00,194.67775714772714
232006548,232345740,2023-03-14 22:30:00+00:00,52.26831719015103
232006548,875832716,2023-03-16 07:30:00+00:00,485.1801211924262
232006548,232345740,2023-03-16 07:30:00+00:00,496.855396493258
564780000,563014650,2023-03-18 07:30:00+00:00,368.00368314838005
232006548,232345740,2023-03-18 04:30:00+00:00,498.88812815837827
538008064,352656000,2023-03-14 12:30:00+00:00,34.24442937618911
875832716,232345740,2023-03-21 13:30:00+00:00,370.31799477979087
875832716,232006548,2023-03-21 13:30:00+00:00,304.0152237666878
232006548,232345740,2023-03-15 02:30:00+00:00,1.8209293040408254
232006548,889799564,2023-03-15 02:30:00+00:00,14.428918962914752
232006548,218719092,2023-03-15 02:30:00+00:00,1.9017387748719539
232006548,875832716,2023-03-15 02:30:00+00:00,11.394250478246635
352002300,563078430,2023-03-13 21:30:00+00:00,76.58946880896728
563014650,352002300,2023-03-12 21:30:00+00:00,37.31003377496256
875832716,232345740,2023-03-16 20:30:00+00:00,360.9013837940145
232345740,875832716,2023-03-16 05:30:00+00:00,143.18988937715494
564780000,565761000,2023-03-18 19:30:00+00:00,208.72266679494888
352002300,563014650,2023-03-12 21:30:00+00:00,37.31003377496256
563014650,564780000,2023-03-09 10:30:00+00:00,235.49329802792644
232345740,875832716,2023-03-15 00:30:00+00:00,24.7613485953035
232345740,232006548,2023-03-15 00:30:00+00:00,6.0597196098496555
232345740,889799564,2023-03-15 00:30:00+00:00,75.25653444049185
889799564,232006548,2023-03-15 08:30:00+00:00,11.530576369485235
889799564,875832716,2023-03-15 08:30:00+00:00,15.730113143798159
889799564,232345740,2023-03-15 08:30:00+00:00,2.9344282667956283
889799564,218719092,2023-03-15 08:30:00+00:00,3.157194624809521
563014650,352002300,2023-03-12 23:30:00+00:00,42.45099979273419
564780000,563014650,2023-03-22 22:30:00+00:00,255.71916023195402
218719092,232345740,2023-03-14 18:30:00+00:00,396.541203688751
563014650,564780000,2023-03-09 02:30:00+00:00,237.92432897664142
563014650,564780000,2023-03-22 04:30:00+00:00,223.67939502489222
889799564,232006548,2023-03-16 03:30:00+00:00,277.1611000573942
875832716,889799564,2023-03-14 23:30:00+00:00,193.8178268197514
875832716,232345740,2023-03-14 23:30:00+00:00,119.94378026041782
875832716,232006548,2023-03-14 23:30:00+00:00,102.87864388129697
232345740,218719092,2023-03-21 23:30:00+00:00,193.80969060867602
232345740,218719092,2023-03-14 18:30:00+00:00,396.541203688751
563078430,565761000,2023-03-20 23:30:00+00:00,362.10292173961585
563078430,352002300,2023-03-13 14:30:00+00:00,236.5940064044657
232345740,232006548,2023-03-21 17:30:00+00:00,90.93448656581377
232345740,218719092,2023-03-21 17:30:00+00:00,413.623675541044
563014650,565761000,2023-03-19 12:30:00+00:00,499.512525113216
218719092,232345740,2023-03-22 01:30:00+00:00,334.51677520192624
232345740,875832716,2023-03-21 18:30:00+00:00,349.6933796998954
232345740,218719092,2023-03-21 18:30:00+00:00,317.4610275876896
875832716,232345740,2023-03-16 11:30:00+00:00,187.27214712998835
875832716,232006548,2023-03-16 11:30:00+00:00,164.78315369443308
538008064,352656000,2023-03-14 04:30:00+00:00,79.95025444956896
564780000,565761000,2023-03-18 15:30:00+00:00,269.53089952607826
875832716,232006548,2023-03-16 07:30:00+00:00,485.1801211924262
875832716,232345740,2023-03-16 07:30:00+00:00,23.505539858439867
564780000,565761000,2023-03-19 00:30:00+00:00,167.78228302429002
564780000,563014650,2023-03-18 06:30:00+00:00,376.62676612521176
232006548,889799564,2023-03-16 03:30:00+00:00,277.1611000573942
563014650,564780000,2023-03-17 17:30:00+00:00,330.30782817672537
563014650,564780000,2023-03-17 21:30:00+00:00,337.51747866647196
564780000,563014650,2023-03-05 18:30:00+00:00,393.8393715173204
563014650,564780000,2023-03-05 17:30:00+00:00,397.7378229183382
563014650,564780000,2023-03-05 14:30:00+00:00,409.71751590465647
889799564,232006548,2023-03-15 02:30:00+00:00,14.428918962914752
889799564,232345740,2023-03-15 02:30:00+00:00,12.621449882374016
889799564,218719092,2023-03-15 02:30:00+00:00,12.821773637539897
889799564,875832716,2023-03-15 02:30:00+00:00,20.03708669119296
564780000,565761000,2023-03-18 14:30:00+00:00,157.65736203556463
232006548,875832716,2023-03-15 04:30:00+00:00,8.971415541949378
232006548,218719092,2023-03-15 04:30:00+00:00,4.323622211912581
232006548,889799564,2023-03-15 04:30:00+00:00,11.642490268562565
232006548,232345740,2023-03-15 04:30:00+00:00,3.6271273950808784
564780000,565761000,2023-03-18 22:30:00+00:00,213.05369339283723
538008064,352656000,2023-03-14 15:30:00+00:00,45.46104326704559
232345740,232006548,2023-03-17 20:30:00+00:00,280.02409596541094
564780000,563014650,2023-03-22 18:17:16+00:00,174.02544320111238
875832716,232345740,2023-03-16 19:30:00+00:00,460.2814858628748
875832716,232006548,2023-03-22 11:30:00+00:00,42.49940198559991
232345740,875832716,2023-03-16 22:30:00+00:00,162.14173684119493
564780000,563014650,2023-03-22 23:30:00+00:00,253.31412205082364
352002300,563078430,2023-03-13 18:30:00+00:00,204.8857496708866
352656000,538008064,2023-03-14 06:30:00+00:00,72.57954819837116
232006548,875832716,2023-03-22 22:30:00+00:00,496.9874270849148
564780000,563014650,2023-03-23 20:30:00+00:00,430.02643996227084
563014650,564780000,2023-03-17 20:30:00+00:00,339.1654377377873
232345740,875832716,2023-03-17 14:30:00+00:00,23.36182262261984
232345740,232006548,2023-03-17 14:30:00+00:00,277.2858496430506
564780000,563014650,2023-03-09 14:30:00+00:00,268.4091373205059
563014650,564780000,2023-03-22 20:30:00+00:00,260.5526707347176
218719092,232006548,2023-03-22 20:30:00+00:00,81.63206523642889
218719092,875832716,2023-03-15 07:30:00+00:00,14.106803860749094
218719092,889799564,2023-03-15 07:30:00+00:00,4.741653682540659
218719092,232006548,2023-03-15 07:30:00+00:00,8.784126264896612
218719092,232345740,2023-03-15 07:30:00+00:00,1.456569908381603
352002300,563078430,2023-03-13 14:30:00+00:00,236.5940064044657
563014650,564780000,2023-03-08 18:30:00+00:00,295.19099482524626
563014650,565761000,2023-03-08 18:30:00+00:00,413.13538189635005
889799564,875832716,2023-03-15 04:30:00+00:00,17.964014644980104
889799564,232006548,2023-03-15 04:30:00+00:00,11.642490268562565
889799564,218719092,2023-03-15 04:30:00+00:00,9.579379976188049
889799564,232345740,2023-03-15 04:30:00+00:00,9.1955268263339
563014650,564780000,2023-03-09 07:30:00+00:00,236.39663127276611
563014650,564780000,2023-03-22 18:16:58+00:00,174.02544320111238
875832716,232345740,2023-03-16 10:30:00+00:00,116.93516992707119
352002300,565761000,2023-03-12 15:30:00+00:00,67.01680068856041
232006548,875832716,2023-03-15 00:30:00+00:00,25.389551944315315
232006548,232345740,2023-03-15 00:30:00+00:00,6.0597196098496555
232006548,889799564,2023-03-15 00:30:00+00:00,80.81410744692514
232006548,875832716,2023-03-15 10:30:00+00:00,2.032164696851066
232006548,889799564,2023-03-15 10:30:00+00:00,14.248049485246032
352656000,538008064,2023-03-14 14:30:00+00:00,39.8663121940735
875832716,232006548,2023-03-15 04:30:00+00:00,8.971415541949378
875832716,218719092,2023-03-15 04:30:00+00:00,13.269032791848536
875832716,889799564,2023-03-15 04:30:00+00:00,17.964014644980104
875832716,232345740,2023-03-15 04:30:00+00:00,12.461240463106883
875832716,232006548,2023-03-21 12:30:00+00:00,306.7897112467537
538008064,352656000,2023-03-14 10:30:00+00:00,25.498409551656188
875832716,232006548,2023-03-16 16:30:00+00:00,468.2276205387655
564780000,563014650,2023-03-18 05:30:00+00:00,385.3217178120953
232006548,889799564,2023-03-15 22:30:00+00:00,356.9902581925241
564780000,565761000,2023-03-08 17:30:00+00:00,268.231075556219
875832716,232345740,2023-03-21 18:30:00+00:00,349.6933796998954
232006548,875832716,2023-03-23 00:30:00+00:00,6.808373637962525
563014650,564780000,2023-03-06 07:17:44+00:00,249.40274299931139
563078430,352002300,2023-03-13 08:30:00+00:00,106.85755139315329
563078430,564780000,2023-03-13 08:30:00+00:00,84.18858104647666
232345740,232006548,2023-03-15 02:30:00+00:00,1.8209293040408254
232345740,889799564,2023-03-15 02:30:00+00:00,12.621449882374016
232345740,218719092,2023-03-15 02:30:00+00:00,0.7692288631775734
232345740,875832716,2023-03-15 02:30:00+00:00,12.071593005975474
563014650,565761000,2023-03-08 20:30:00+00:00,383.2401277051595
564780000,563014650,2023-03-22 21:30:00+00:00,258.1320828079297
